"","index","Referendum","Strike and mass demonstrations","King’s speech","Puigdemont answer s the king","First organizations to move out","Demonstrations for dialogue","Demonstration against independence","First DOI","Referendum organizers imprisonment"
"169",2017-10-08 09:00:00,1,1,1,1,1,1,0,0,0
"170",2017-10-08 10:00:00,1,1,1,1,1,1,1,0,0
"171",2017-10-08 11:00:00,1,1,1,1,1,1,1,0,0
"172",2017-10-08 12:00:00,1,1,1,1,1,1,1,0,0
"173",2017-10-08 13:00:00,1,1,1,1,1,1,1,0,0
"174",2017-10-08 14:00:00,1,1,1,1,1,1,1,0,0
"175",2017-10-08 15:00:00,1,1,1,1,1,1,1,0,0
"176",2017-10-08 16:00:00,1,1,1,1,1,1,1,0,0
"177",2017-10-08 17:00:00,1,1,1,1,1,1,1,0,0
"178",2017-10-08 18:00:00,1,1,1,1,1,1,1,0,0
"179",2017-10-08 19:00:00,1,1,1,1,1,1,1,0,0
"180",2017-10-08 20:00:00,1,1,1,1,1,1,1,0,0
"181",2017-10-08 21:00:00,1,1,1,1,1,1,1,0,0
"182",2017-10-08 22:00:00,1,1,1,1,1,1,1,0,0
"183",2017-10-08 23:00:00,1,1,1,1,1,1,1,0,0
"184",2017-10-09 00:00:00,1,1,1,1,1,1,1,0,0
"185",2017-10-09 01:00:00,1,1,1,1,1,1,1,0,0
"186",2017-10-09 02:00:00,1,1,1,1,1,1,1,0,0
"187",2017-10-09 03:00:00,1,1,1,1,1,1,1,0,0
"188",2017-10-09 04:00:00,1,1,1,1,1,1,1,0,0
"189",2017-10-09 05:00:00,1,1,1,1,1,1,1,0,0
"190",2017-10-09 06:00:00,1,1,1,1,1,1,1,0,0
"191",2017-10-09 07:00:00,1,1,1,1,1,1,1,0,0
"192",2017-10-09 08:00:00,1,1,1,1,1,1,1,0,0
"193",2017-10-09 09:00:00,1,1,1,1,1,1,1,0,0
"194",2017-10-09 10:00:00,1,1,1,1,1,1,1,0,0
"195",2017-10-09 11:00:00,1,1,1,1,1,1,1,0,0
"196",2017-10-09 12:00:00,1,1,1,1,1,1,1,0,0
"197",2017-10-09 13:00:00,1,1,1,1,1,1,1,0,0
"198",2017-10-09 14:00:00,1,1,1,1,1,1,1,0,0
"199",2017-10-09 15:00:00,1,1,1,1,1,1,1,0,0
"200",2017-10-09 16:00:00,1,1,1,1,1,1,1,0,0
"201",2017-10-09 17:00:00,1,1,1,1,1,1,1,0,0
"202",2017-10-09 18:00:00,1,1,1,1,1,1,1,0,0
"203",2017-10-09 19:00:00,1,1,1,1,1,1,1,0,0
"204",2017-10-09 20:00:00,1,1,1,1,1,1,1,0,0
"205",2017-10-09 21:00:00,1,1,1,1,1,1,1,0,0
